Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
129.89M,"379,534",506.91M,$0.92,"6,400",67.37,Hold,70.20,"Jul 24, 2024"
55.57M,"420,134",206.77M,n/a,"3,213",156.43,Buy,177.47,"Aug 1, 2024"
137.92M,"1,482,023",540.46M,n/a,"22,900",62.92,Strong Buy,71.57,"Aug 20, 2024"
265.05M,"443,024",465.09M,$0.94,"7,030",32.59,Hold,38.33,"Aug 1, 2024"
59.39M,"978,105",811.97M,n/a,"13,953",144.69,Buy,158.40,"Aug 1, 2024"
2.34B,"831,092",-2.33B,n/a,"27,800",3.660,Strong Buy,9.60,"Oct 3, 2024"
110.01M,"1,228,495",868.64M,$1.00,"2,083",77.37,Strong Buy,118.14,"Aug 6, 2024"
85.39M,"219,528",121.22M,n/a,"35,300",99.50,Buy,101.36,"Sep 4, 2024"
56.70M,"182,909",225.40M,$0.24,"1,504",148.07,Buy,139.40,"Jul 25, 2024"
36.27M,"192,128",125.03M,n/a,"51,000",229.46,Buy,284.50,"Jul 25, 2024"
216.34M,"4,767,726",-278.00M,n/a,"28,700",38.29,Buy,53.00,"Jul 30, 2024"
246.39M,"957,567",375.97M,$0.32,"1,783",33.37,Buy,41.71,"Jul 29, 2024"
56.01M,"395,007",-1.90M,n/a,"10,200",146.80,Buy,189.57,"Jul 30, 2024"
67.29M,"943,132",8.00M,$0.88,"4,592",121.46,Strong Buy,146.63,"Aug 7, 2024"
128.92M,"377,085",477.62M,$1.08,"21,900",63.48,Hold,60.00,"Oct 16, 2024"
666.71M,"24,438",-5.20B,$0.20,"4,400",24.20,Sell,12.29,"Aug 8, 2024"
1.07B,"31,194,858",-153.23M,n/a,879,7.52,Buy,9.07,"Jul 30, 2024"
57.35M,"206,105",-541.12M,n/a,53,139.68,Strong Buy,192.20,"Sep 3, 2024"
782.46M,"13,666,189",290.00M,$1.44,373,10.19,Buy,10.25,"Jul 22, 2024"
126.68M,"927,381",337.29M,n/a,"2,693",62.72,Buy,59.44,"Aug 6, 2024"
325.42M,"2,210,485",584.20M,n/a,"27,000",24.33,Hold,28.67,"Aug 8, 2024"
45.02M,"54,623",80.28M,$1.00,"18,500",175.72,Buy,186.00,"Jul 25, 2024"
73.16M,"383,915",500.00M,$0.25,610,108.01,Strong Buy,154.00,"Jul 23, 2024"
105.67M,"203,691",-84.30M,n/a,"1,500",74.48,Strong Buy,97.00,"Aug 7, 2024"
72.19M,"266,397",71.90M,n/a,"1,625",107.00,Strong Buy,118.33,"Aug 1, 2024"
53.41M,"320,815",301.07M,n/a,"3,400",144.52,Strong Buy,143.33,"Aug 6, 2024"
84.89M,"273,827",26.71M,n/a,"3,856",90.41,Hold,90.67,"Aug 1, 2024"
81.01M,"265,144",186.37M,$0.32,"10,722",94.55,Buy,102.00,"Aug 1, 2024"
53.77M,"236,901",386.91M,n/a,"2,402",142.05,Buy,158.38,"Aug 1, 2024"
326.69M,"928,475",978.00M,n/a,"2,402",23.26,Strong Buy,28.00,"Aug 8, 2024"
326.69M,704,978.00M,n/a,"2,402",23.69,n/a,n/a,"Aug 8, 2024"
326.69M,"472,937",978.00M,n/a,"15,800",23.24,Strong Buy,35.30,"Aug 8, 2024"
60.72M,"166,162",462.48M,$1.32,"4,981",125.02,Buy,129.00,"Jul 30, 2024"
51.00M,"823,297",853.00M,n/a,"21,900",148.80,Strong Buy,145.00,"Aug 13, 2024"
666.71M,"9,363,288",-5.20B,$0.20,"15,038",11.36,Sell,12.29,"Aug 8, 2024"
475.46M,"6,797,837",-504.00M,$4.00,"3,357",15.89,n/a,n/a,"Aug 7, 2024"
76.52M,"398,955",389.50M,$0.88,"6,600",98.39,Buy,99.36,"Oct 15, 2024"
263.70M,"338,324",188.00M,n/a,"2,130",28.42,Buy,28.50,"Jul 30, 2024"
158.90M,"877,279",-426.35M,n/a,"2,489",46.98,Buy,66.56,"Sep 3, 2024"
37.55M,"83,275",71.89M,n/a,834,198.36,Strong Buy,220.25,"Jul 25, 2024"
69.43M,"611,269",428.48M,n/a,"23,500",107.16,Strong Buy,117.67,"Jul 31, 2024"
92.87M,"634,133",-5.12M,n/a,"1,800",79.91,Buy,85.56,"Jul 31, 2024"
1.72B,"9,331,395",-729.00M,n/a,"1,310",4.300,Hold,3.75,"Jul 31, 2024"
285.25M,"1,295,756",349.99M,n/a,"9,679",25.88,Buy,27.46,"Aug 6, 2024"
147.70M,"959,481",612.00M,$1.64,"5,000",49.91,Hold,48.74,"Oct 21, 2024"
188.49M,"1,527,204",187.23M,n/a,"18,450",38.93,Strong Buy,48.50,"Aug 1, 2024"
50.28M,"90,102",141.93M,$0.30,378,145.40,Buy,153.75,"Aug 1, 2024"
167.04M,"516,192",-519.21M,n/a,"9,237",43.64,Strong Buy,49.54,"Aug 7, 2024"
72.37M,"407,794",510.86M,$2.48,"6,245",99.50,Buy,104.00,"Jul 24, 2024"
230.22M,"1,281,790",409.90M,$0.48,27,31.21,Buy,38.00,"Jul 26, 2024"
110.80M,"2,320,864",-96.75M,n/a,"5,521",64.63,Strong Buy,111.78,"Jul 24, 2024"
66.50M,"271,520",599.40M,$1.80,"13,300",107.65,Strong Buy,117.85,"Oct 15, 2024"
248.98M,"1,797,584",-94.00M,n/a,"2,800",28.62,Strong Buy,30.90,"Aug 2, 2024"
61.75M,"321,569",394.92M,n/a,"9,860",113.87,Buy,172.73,"Jul 31, 2024"
365.44M,305,-2.05B,n/a,"9,860",19.14,n/a,n/a,n/a
365.44M,"984,816",-2.05B,n/a,"9,489",19.46,n/a,n/a,n/a
1.47B,"697,814",978.39M,$2.49,"14,437",34.68,Strong Buy,36.00,"Sep 26, 2024"
32.59M,"160,151",305.33M,n/a,"23,737",213.39,Hold,216.67,"Aug 1, 2024"
679.63M,"808,432",177.51M,n/a,"2,744",8.58,Sell,10.50,n/a
322.72M,"1,619,323",-369.63M,n/a,"9,860",21.36,Buy,30.64,"Jul 31, 2024"
365.44M,"1,051,104",-2.05B,n/a,927,18.84,Buy,25.50,"Jul 25, 2024"
146.21M,"566,618",-365.74M,n/a,"132,100",46.92,Buy,61.75,"Aug 1, 2024"
656.70M,"20,531,865",-121.00M,n/a,"2,325",10.39,Buy,15.67,"Oct 17, 2024"
623.40M,"1,407,336",21.48M,n/a,"2,200",10.94,Strong Buy,13.88,"Jul 30, 2024"
201.06M,"2,634,020",-188.54M,n/a,"2,992",33.90,Hold,31.70,"Aug 29, 2024"
171.50M,"1,124,986",78.38M,$0.30,"17,000",39.69,Buy,48.58,"Jul 31, 2024"
24.79M,"102,835",194.59M,$2.80,423,273.15,Buy,275.00,"Jul 30, 2024"
117.66M,"570,858",-545.28M,n/a,"1,083",57.32,Buy,78.88,"Aug 8, 2024"
48.49M,"562,306",25.03M,n/a,"4,966",138.84,Strong Buy,140.60,"Aug 5, 2024"
64.13M,"99,072",460.41M,$2.20,"1,468",104.89,Hold,101.00,"Jul 22, 2024"
35.45M,"154,503",219.36M,$1.44,"2,882",188.61,Hold,177.20,"Oct 23, 2024"
43.71M,"245,394",174.80M,n/a,"3,150",152.62,Buy,134.29,"Jul 30, 2024"
87.01M,"314,404",80.43M,n/a,"33,000",76.62,Strong Buy,101.45,"Sep 3, 2024"
339.90M,"1,125,331",322.22M,n/a,"24,000",19.55,Buy,22.75,"Jul 23, 2024"
51.23M,"219,282",456.00M,$1.48,"2,900",129.56,Hold,127.67,"Sep 5, 2024"
35.90M,"109,782",62.17M,n/a,"1,156",183.54,Hold,175.00,"Aug 6, 2024"
137.77M,"2,417,093",189.92M,n/a,267,47.78,Strong Buy,65.17,"Jul 29, 2024"
156.66M,"3,355,461",-89.34M,n/a,"1,202",41.77,Strong Buy,71.36,"Aug 6, 2024"
29.05M,"108,524",153.76M,n/a,"6,000",223.01,Strong Buy,236.60,"Aug 8, 2024"
210.14M,"280,200",360.00M,$0.92,"2,233",30.70,Hold,31.00,"Aug 7, 2024"
112.18M,"704,377",-88.35M,n/a,"3,800",57.27,Buy,56.33,"Jul 29, 2024"
53.20M,"415,027",79.40M,n/a,"2,420",119.94,Buy,156.40,"Aug 6, 2024"
114.75M,"2,220,066",287.13M,n/a,"5,346",55.40,Hold,70.80,"Jul 31, 2024"
441.23M,"1,631,616",181.64M,n/a,"3,940",14.18,Buy,24.00,"Aug 28, 2024"
318.97M,"1,448,941",505.73M,$0.56,"4,200",19.58,Buy,19.57,"Oct 22, 2024"
58.13M,"216,470",19.25M,n/a,"8,801",107.10,Strong Buy,103.80,"Aug 1, 2024"
414.14M,"7,631,956",-551.15M,n/a,700,14.94,Strong Buy,16.54,"Aug 22, 2024"
40.53M,"207,158",168.82M,$1.96,"7,100",151.45,Hold,130.86,"Aug 6, 2024"
190.46M,"1,243,950",320.40M,$0.38,"11,500",31.94,Buy,37.83,"Jul 24, 2024"
61.21M,"943,487",196.80M,n/a,"1,050",98.89,Strong Buy,102.25,"Aug 29, 2024"
143.44M,"2,464,935",407.51M,n/a,500,42.11,Strong Buy,58.22,"Aug 1, 2024"
165.19M,"2,247,770",-28.37M,n/a,"5,406",36.45,Strong Buy,30.38,"Sep 4, 2024"
85.41M,"912,576",129.88M,$0.12,655,70.22,Buy,82.60,"Jul 24, 2024"
63.35M,"279,075",-205.49M,n/a,"6,800",94.55,Buy,120.18,"Aug 1, 2024"
64.48M,"364,173",706.00M,n/a,"30,000",92.76,Buy,89.10,"Jul 25, 2024"
422.11M,"2,956,613",-40.00M,n/a,584,14.04,Buy,15.30,"Aug 7, 2024"
33.36M,"642,623",3.00M,n/a,"54,000",175.66,Buy,154.70,"Jul 31, 2024"
161.40M,"413,371",178.75M,n/a,923,36.27,Buy,37.33,"Oct 24, 2024"
166.99M,"745,574",-109.68M,n/a,"2,232",34.91,Strong Buy,43.00,"Aug 14, 2024"
12.11M,"27,459",181.60M,n/a,229,480.97,Sell,395.67,"Jul 31, 2024"
28.73M,"124,445",105.94M,n/a,"1,500",201.58,Strong Buy,185.10,"Aug 5, 2024"
155.52M,"1,000,031",19.78M,n/a,"6,197",37.06,Buy,37.73,"Aug 7, 2024"
60.75M,"73,093",341.84M,n/a,195,93.75,n/a,n/a,"Aug 9, 2024"
409.43M,"6,003,505",-8.14M,n/a,"8,063",13.90,n/a,n/a,"Aug 14, 2024"
61.87M,"637,328",-39.50M,n/a,"1,302",90.60,Buy,113.78,"Aug 1, 2024"
32.44M,"66,218",116.78M,$1.19,"13,294",172.74,Strong Buy,185.00,"Jul 26, 2024"
32.26M,"205,449",432.00M,$6.76,92,171.55,Strong Buy,201.67,"Aug 8, 2024"
64.80M,"216,721",-173.59M,n/a,60,85.32,Strong Buy,103.13,"Aug 8, 2024"
294.47M,"29,534,202",288.95M,n/a,376,18.69,Buy,19.22,"Aug 1, 2024"
21.71M,"119,316",-510.45M,n/a,465,252.74,Buy,343.83,"Aug 7, 2024"
155.70M,"226,770",666.16M,$0.74,"4,593",35.20,Buy,33.60,"Jul 31, 2024"
218.92M,"1,027,751",74.17M,n/a,"13,500",24.99,Strong Buy,35.29,"Aug 1, 2024"
92.84M,"787,572",36.00M,n/a,"2,650",58.86,Hold,74.00,"Jul 25, 2024"
60.83M,"266,990",224.06M,$1.40,"7,802",89.80,Hold,98.67,"Jul 18, 2024"
171.02M,"1,433,626",211.31M,n/a,"6,950",31.83,Strong Buy,39.50,"Jul 31, 2024"
58.21M,"177,305",117.43M,n/a,"1,320",93.29,Buy,94.10,"Aug 1, 2024"
50.73M,"132,154",104.84M,$1.12,"4,870",106.26,Strong Buy,120.00,"Oct 24, 2024"
17.13M,"19,531",78.02M,n/a,"19,000",314.57,n/a,n/a,"Jul 30, 2024"
44.75M,"144,075",237.17M,$1.52,"15,300",118.52,Strong Buy,142.50,"Oct 24, 2024"
271.68M,"736,652",-2.48B,n/a,"23,000",19.52,Buy,22.00,"Aug 9, 2024"
74.14M,"78,901",423.17M,$0.61,"5,114",71.58,Strong Buy,106.00,"Sep 6, 2024"
209.48M,"1,697,973",473.60M,$1.44,"1,276",24.97,Hold,25.04,"Oct 16, 2024"
92.10M,"425,734",-585.12M,n/a,"2,635",56.75,Strong Buy,87.47,"Aug 1, 2024"
134.90M,"503,335",358.04M,$1.48,"1,428",38.69,Hold,40.25,"Jul 25, 2024"
28.00M,"295,218",59.67M,n/a,"1,500",185.62,Buy,187.75,"Sep 4, 2024"
141.92M,"540,296",201.42M,$0.72,"3,212",36.61,Hold,35.25,"Oct 17, 2024"
104.66M,"433,205",183.66M,n/a,"1,850",49.48,Strong Buy,44.20,"Aug 1, 2024"
102.87M,"498,002",16.73M,$1.68,"15,000",50.21,Buy,45.90,"Aug 6, 2024"
202.71M,"1,798,231",-185.00M,$0.64,253,25.31,Buy,33.44,"Jul 31, 2024"
117.12M,"606,041",-252.45M,n/a,"3,599",43.52,Strong Buy,54.67,"Aug 9, 2024"
48.75M,"634,379",379.08M,$1.56,"2,600",104.08,Buy,101.00,"Jul 30, 2024"
15.53M,"49,445",109.63M,$0.84,623,325.18,Strong Buy,n/a,"Jul 31, 2024"
107.68M,"1,156,387",230.70M,n/a,489,46.65,Strong Buy,77.75,"Jul 29, 2024"
151.48M,"17,531,419",-145.12M,n/a,"2,744",32.86,Strong Buy,30.23,"Aug 14, 2024"
113.46M,"1,023,843",685.81M,$1.60,"1,999",43.51,Hold,48.78,"Oct 17, 2024"
119.11M,"751,900",-66.17M,n/a,"10,070",41.35,Buy,52.94,"Jul 31, 2024"
58.55M,"217,015",227.41M,$1.20,706,83.74,Hold,77.00,"Jul 25, 2024"
121.77M,"551,184",-332.89M,n/a,"15,800",40.11,Strong Buy,70.18,"Aug 1, 2024"
88.11M,"332,631",498.70M,$1.32,"8,441",55.30,Sell,48.50,"Aug 8, 2024"
73.96M,"307,188",9.92M,n/a,"10,833",65.00,Strong Buy,65.50,"Aug 7, 2024"
223.54M,"8,188,510",-1.37B,n/a,"2,945",21.50,Buy,23.08,"Aug 6, 2024"
410.16M,"11,263,145",-64.93M,n/a,805,11.68,Buy,16.17,"Aug 7, 2024"
14.67M,"47,701",882.00M,n/a,"3,400",326.60,n/a,n/a,"Jul 29, 2024"
27.53M,"201,649",158.20M,$3.60,556,173.51,Buy,205.00,"Aug 22, 2024"
188.03M,"784,020",-453.82M,n/a,"10,000",25.31,Strong Buy,47.33,"Aug 1, 2024"
44.91M,"207,255",282.80M,n/a,207,105.72,Strong Buy,124.63,"Oct 18, 2024"
146.37M,"541,646",-272.55M,n/a,"2,202",32.42,Strong Buy,47.50,"Aug 6, 2024"
141.78M,"369,658",-11.38M,$0.40,"3,895",33.22,Hold,32.00,"Aug 6, 2024"
486.60M,"1,723,704",117.30M,$0.08,"1,740",9.70,Buy,11.50,"Jul 30, 2024"
217.46M,"693,662",721.08M,$0.44,"6,400",21.65,Buy,23.82,"Jul 24, 2024"
45.67M,"82,706",187.71M,$1.00,141,102.74,Buy,95.00,"Jul 23, 2024"
100.40M,"970,148",-257.60M,n/a,"1,300",46.53,Strong Buy,47.33,"Aug 12, 2024"
156.58M,"161,798",-10.82M,n/a,"2,188",29.60,Strong Buy,33.07,"Sep 3, 2024"
36.81M,"196,012",170.61M,n/a,"2,100",125.06,Hold,151.71,"Aug 6, 2024"
164.67M,"870,784",288.72M,n/a,475,27.95,Buy,36.70,"Jul 24, 2024"
28.12M,"171,234",12.37M,n/a,"5,613",163.67,Strong Buy,186.78,"Jul 24, 2024"
111.07M,"339,976",493.98M,n/a,"1,788",41.43,Strong Buy,46.33,"Sep 6, 2024"
164.66M,"699,994",96.70M,n/a,"5,081",27.85,Buy,29.00,"Aug 8, 2024"
44.96M,"351,598",187.60M,n/a,"16,500",101.96,Buy,109.55,"Aug 1, 2024"
171.31M,"59,659",107.00M,n/a,"440,000",26.68,Buy,26.67,"Aug 2, 2024"
65.33M,"222,645",258.40M,$1.21,"1,548",69.95,Buy,98.00,"Sep 25, 2024"
101.63M,"941,779",-126.35M,n/a,"22,000",44.86,Strong Buy,60.18,"Sep 5, 2024"
55.07M,"1,570,539",295.10M,n/a,"3,591",82.46,Buy,126.95,"Aug 28, 2024"
86.35M,"363,991",368.48M,$1.60,"3,749",52.46,Buy,53.92,"Oct 15, 2024"
509.22M,"5,554,975",363.15M,$0.44,"9,500",8.89,Hold,8.25,"Jul 25, 2024"
86.12M,"399,871",-157.91M,n/a,290,51.96,Strong Buy,76.40,"Aug 6, 2024"
122.50M,"482,126",58.72M,$1.17,565,36.45,Hold,36.83,"Jul 25, 2024"
45.37M,"495,199",95.61M,$1.33,36,97.97,Strong Buy,109.43,"Aug 1, 2024"
194.72M,"4,541,887",-379.18M,n/a,"1,400",22.81,n/a,n/a,"Aug 9, 2024"
166.66M,"567,086",-73.52M,n/a,"3,000",26.39,Strong Buy,28.50,"Aug 7, 2024"
283.21M,"1,747,017",39.94M,n/a,,15.42,Buy,15.70,"Aug 5, 2024"
91.45M,"628,695",235.48M,$2.56,407,47.41,Strong Buy,45.14,"Aug 5, 2024"
,,,,"1,559",,,,
88.52M,"705,053",-265.80M,n/a,624,48.69,Buy,74.38,"Aug 5, 2024"
93.58M,"134,595",176.73M,$3.25,"7,239",45.84,Strong Sell,48.00,"Sep 5, 2024"
233.08M,"4,020,663",34.79M,n/a,"13,500",18.40,Strong Buy,15.50,"Aug 8, 2024"
306.34M,"3,325,349",347.49M,n/a,290,13.94,Buy,18.54,"Aug 14, 2024"
126.39M,"1,663,026",-33.80M,n/a,"8,509",33.69,Buy,39.86,"Aug 6, 2024"
80.04M,"455,658",-258.54M,n/a,545,53.15,Strong Buy,66.00,"Aug 8, 2024"
78.76M,"271,256",308.59M,$0.72,"10,000",53.64,Buy,60.00,"Oct 22, 2024"
48.00M,"266,874",-308.55M,n/a,"5,800",87.99,Strong Buy,124.83,"Aug 5, 2024"
37.67M,"162,966",90.47M,$0.40,"3,000",110.60,Buy,113.25,"Jul 30, 2024"
29.05M,"82,055",219.34M,n/a,"8,509",142.29,Buy,165.67,"Aug 6, 2024"
50.52M,"148,378",41.47M,n/a,626,81.77,Buy,92.00,"Jul 30, 2024"
78.76M,"27,926",308.59M,$0.72,"1,653",47.80,n/a,n/a,"Oct 22, 2024"
51.93M,"509,002",-103.71M,n/a,607,79.34,Strong Buy,70.67,"Aug 1, 2024"
115.08M,"905,745",-34.08M,n/a,"7,500",35.00,Buy,37.31,"Aug 27, 2024"
32.02M,"84,424",141.51M,$3.00,"14,000",125.66,Strong Buy,163.75,"Aug 6, 2024"
67.90M,"1,647,651",-546.50M,n/a,"2,115",59.17,Buy,58.36,"Aug 14, 2024"
24.43M,"178,053",-70.79M,n/a,875,163.55,Buy,138.33,"Aug 7, 2024"
77.39M,"368,875",121.39M,n/a,"22,012",51.41,Buy,59.63,"Jul 31, 2024"
264.61M,"1,640,393",280.15M,$1.16,48,14.99,Buy,16.36,"Aug 5, 2024"
72.13M,"1,132,561",501.69M,$0.44,"3,121",54.49,Buy,65.56,"Sep 6, 2024"
234.26M,"1,827,975",52.28M,$1.20,"2,292",16.63,Strong Buy,16.56,"Aug 7, 2024"
155.25M,"2,071,398",660.34M,$1.18,"34,000",25.02,Strong Buy,23.80,"Aug 13, 2024"
62.19M,"322,559",403.95M,$1.32,819,62.45,n/a,n/a,"Aug 1, 2024"
54.65M,"367,415",223.00M,n/a,"8,427",70.76,Sell,53.50,"Jul 29, 2024"
56.83M,"268,832",42.87M,$0.80,"1,846",67.90,Buy,78.50,"Aug 6, 2024"
19.98M,"178,824",173.74M,n/a,"2,655",192.43,n/a,n/a,"Aug 2, 2024"
32.29M,"344,788",-198.12M,n/a,"1,388",118.32,Buy,130.14,"Jul 24, 2024"
41.83M,"152,093",311.07M,$1.87,"5,000",90.89,n/a,n/a,"Aug 5, 2024"
89.51M,"6,605,845",-201.78M,n/a,995,42.00,Sell,25.14,"Aug 6, 2024"
197.26M,"875,032",162.00M,$1.22,130,19.05,Buy,20.11,"Aug 2, 2024"
278.33M,"176,543",79.42M,$1.13,"1,620",13.46,Hold,14.00,"Jul 30, 2024"
53.76M,"537,803",-53.89M,n/a,"1,716",69.38,Strong Buy,76.67,"Aug 8, 2024"
32.62M,"488,009",239.45M,n/a,"10,600",114.22,Strong Buy,169.80,"Jul 31, 2024"
76.52M,"687,090",206.00M,n/a,229,48.52,Buy,44.83,"Aug 1, 2024"
393.05M,"4,441,018",124.31M,$0.32,990,9.31,Buy,14.59,"Jul 24, 2024"
68.21M,"159,215",-167.66M,n/a,"2,917",53.59,Strong Buy,82.20,"Aug 1, 2024"
67.93M,"517,089",50.15M,$0.45,352,53.68,Hold,49.81,"Aug 8, 2024"
216.69M,"1,890,720",-9.42M,n/a,,16.78,Hold,17.50,"Oct 8, 2024"
104.49M,"619,862",124.96M,n/a,"3,000",34.79,Strong Buy,56.50,"Jul 29, 2024"
91.72M,"113,867",n/a,n/a,579,39.61,n/a,n/a,n/a
,,,,,,,,
30.73M,"149,796",162.45M,n/a,"4,900",118.10,Hold,115.00,"Aug 5, 2024"
94.00M,"734,373",713.17M,$7.20,557,38.32,Buy,48.00,"Aug 15, 2024"
n/a,"72,820",n/a,n/a,999,38.83,Strong Buy,56.00,n/a
,,,,"1,779",,,,
302.09M,"1,127,432",-102.62M,n/a,"1,008",11.95,Buy,19.47,"Jul 30, 2024"
303.51M,"5,124,738",-440.22M,n/a,"28,000",11.87,Strong Buy,24.80,"Aug 8, 2024"
301.64M,"33,528",-618.38M,n/a,"3,516",11.89,Buy,14.00,"Aug 15, 2024"
123.02M,"4,298,662",-490.76M,n/a,481,29.02,Strong Buy,39.31,"Aug 7, 2024"
208.04M,"1,706,481",-103.33M,n/a,445,17.15,Strong Buy,16.86,"Aug 15, 2024"
92.26M,"2,972,324",310.02M,n/a,"2,109",38.59,Hold,41.27,"Aug 21, 2024"
365.28M,"4,225,204",15.40M,n/a,797,9.72,Hold,13.71,"Aug 5, 2024"
64.88M,"189,674",237.16M,$1.64,264,54.69,Buy,51.86,"Aug 8, 2024"
143.17M,"885,838",-419.65M,n/a,"3,400",24.77,Strong Buy,39.33,"Aug 1, 2024"
33.02M,"74,039",200.90M,$1.72,"3,067",107.06,Sell,93.50,"Oct 17, 2024"
51.12M,"209,520",-1.71M,n/a,"3,180",68.95,Hold,70.67,"Aug 1, 2024"
143.45M,"2,507,387",95.69M,n/a,"161,000",24.46,Strong Buy,33.60,"Aug 6, 2024"
181.91M,"1,195,793",283.03M,$0.68,"29,600",19.28,Hold,18.40,"Oct 15, 2024"
49.04M,"242,376",277.89M,$3.08,"228,000",71.45,Sell,58.50,"Oct 1, 2024"
676.74M,"100,977",-853.07M,n/a,"182,381",5.17,n/a,n/a,"Aug 28, 2024"
15.20B,"29,834,257",101.96B,$1.00,"182,502",226.84,Buy,236.31,"Aug 1, 2024"
24.58B,"310,565,961",42.60B,$0.04,"1,525,000",129.37,Strong Buy,136.74,"Aug 28, 2024"
7.43B,"12,917,138",88.14B,$3.00,"67,317",416.79,Strong Buy,493.97,"Jul 30, 2024"
12.31B,"11,634,952",87.66B,$0.80,"20,000",167.43,Buy,200.36,"Jul 23, 2024"
12.31B,"10,831,461",87.66B,$0.80,"140,473",165.62,Buy,199.27,"Jul 23, 2024"
10.50B,"21,904,019",44.42B,n/a,"316,000",177.04,Strong Buy,218.51,"Oct 24, 2024"
2.53B,"9,547,234",51.43B,$2.00,"42,416",528.00,Strong Buy,557.90,"Jul 31, 2024"
4.65B,"18,441,771",10.27B,$2.10,"13,000",166.36,Strong Buy,178.79,"Sep 5, 2024"
3.19B,"58,984,295",12.39B,n/a,"89,900",220.32,Hold,202.12,"Oct 16, 2024"
443.34M,"1,274,188",7.17B,$4.64,"26,000",879.21,Buy,819.89,"Sep 26, 2024"
393.20M,"1,239,512",7.23B,$6.57,"29,945",907.26,Buy,"1,147.80","Oct 16, 2024"
429.16M,"1,347,866",7.09B,n/a,"318,000",686.73,Buy,687.67,"Oct 16, 2024"
1.55B,"2,350,366",6.44B,$1.48,"67,000",86.66,Buy,88.80,"Jul 25, 2024"
1.62B,"49,697,991",1.35B,n/a,"66,323",154.98,Strong Buy,195.93,"Jul 30, 2024"
443.40M,"1,385,944",5.08B,n/a,"84,900",558.30,Buy,599.31,"Sep 12, 2024"
1.37B,"4,144,019",9.52B,$5.42,"17,403",175.87,Buy,186.00,"Oct 8, 2024"
1.17B,"2,536,262",9.46B,$2.60,"50,000",198.58,Strong Buy,196.11,"Jul 31, 2024"
477.50M,"1,106,510",6.40B,$5.56,"34,000",465.74,Buy,487.10,"Oct 24, 2024"
4.03B,"9,792,080",10.32B,$1.60,"26,700",50.74,Buy,56.06,"Aug 14, 2024"
1.39B,"102,367,839",13.60B,n/a,"18,200",139.87,Strong Buy,211.11,"Aug 26, 2024"
1.11B,"7,080,413",8.71B,$3.40,"13,676",173.50,Buy,205.21,"Jul 31, 2024"
913.05M,"5,804,012",5.28B,$5.20,"34,000",209.88,Hold,199.48,"Oct 22, 2024"
537.33M,"1,716,778",3.13B,$9.00,"186,000",328.80,Buy,323.21,"Aug 6, 2024"
279.55M,"1,907,131",2.96B,$4.16,"7,096",619.85,Buy,696.96,"Aug 22, 2024"
355.35M,"1,165,092",2.09B,n/a,"86,088",486.55,Buy,444.14,"Oct 17, 2024"
824.40M,"6,696,957",7.45B,$1.60,"95,000",202.67,Buy,225.15,"Aug 15, 2024"
3.87B,"11,120,225",15.09B,$1.24,"13,450",39.82,Buy,47.02,"Oct 24, 2024"
1.05B,"5,991,731",424.00M,n/a,"23,600",135.63,Buy,130.00,"Jul 31, 2024"
1.25B,"978,653",4.52B,$2.04,"5,400",56.21,Buy,57.50,"Jul 25, 2024"
649.67M,"1,717,257",5.78B,$4.32,"43,000",202.48,Buy,225.00,"Jul 25, 2024"
107.93M,"238,223",4.32B,n/a,"13,948","1,199.12",Buy,"1,091.83","Aug 1, 2024"
33.52M,"217,547",5.03B,$35.00,"26,000","3,830.58",Buy,"4,063.00","Aug 1, 2024"
258.10M,"877,494",-489.90M,n/a,"17,200",481.24,Buy,495.82,"Aug 1, 2024"
1.11B,"24,264,183",-1.54B,$0.46,"64,000",102.85,Strong Buy,157.42,"Sep 25, 2024"
323.80M,"3,144,385",2.58B,n/a,"15,230",350.75,Buy,371.26,"Aug 19, 2024"
496.49M,"2,528,087",1.66B,$3.68,"381,000",228.39,Buy,243.52,"Aug 21, 2024"
130.38M,"1,109,642",3.83B,$8.00,"58,313",847.37,Strong Buy,983.19,"Oct 16, 2024"
407.80M,"776,708",3.75B,$5.60,"18,000",269.60,Hold,262.82,"Jul 31, 2024"
134.43M,"776,009",2.76B,$5.80,"91,000",817.84,Buy,805.55,"Jul 24, 2024"
1.13B,"10,812,035",4.07B,$2.28,"124,800",94.02,Buy,99.18,"Jul 30, 2024"
50.70M,"181,637",1.40B,n/a,"20,300","2,000.31",Strong Buy,"2,089.09","Aug 1, 2024"
1.24B,"2,897,238",1.05B,$3.08,"46,500",76.72,Buy,81.81,"Aug 8, 2024"
1.34B,"3,498,847",3.95B,$1.88,"13,151",71.23,Strong Buy,79.59,"Jul 30, 2024"
4.28B,"57,358,323",975.00M,$0.50,"11,200",20.54,Hold,32.96,"Aug 1, 2024"
153.61M,"916,354",1.50B,n/a,"3,565",539.39,Strong Buy,641.00,"Aug 21, 2024"
100.77M,"236,586",1.57B,$1.56,"6,907",788.50,Buy,740.62,"Sep 24, 2024"
94.94M,"283,971",1.04B,$17.04,"27,200",827.96,Buy,863.36,"Aug 7, 2024"
273.82M,"1,944,545",1.06B,n/a,"18,800",273.90,Strong Buy,334.56,"Jul 22, 2024"
360.10M,"1,636,056",3.26B,$4.60,"7,925",207.05,Hold,213.69,"Oct 23, 2024"
