Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
204.69M,"2,305,057",107.20M,n/a,"3,206",57.44,Hold,61.46,"Sep 5, 2024"
138.61M,"775,772",1.10B,$2.20,"3,700",84.69,Strong Buy,88.73,"Jul 23, 2024"
811.05M,"4,337,954",-224.00M,n/a,"6,524",14.40,Buy,32.00,"Aug 1, 2024"
58.28M,"300,100",553.62M,n/a,"3,050",199.01,Hold,200.89,"Jul 29, 2024"
158.60M,"499,175",168.07M,$0.32,"91,000",72.29,Buy,80.67,"Aug 7, 2024"
66.68M,"522,987",369.57M,$2.44,"8,384",168.59,Buy,168.86,"Jul 25, 2024"
63.53M,"423,847",396.16M,n/a,"49,000",178.26,Strong Buy,269.64,"Aug 15, 2024"
263.26M,"1,095,407",728.00M,$1.20,"12,000",42.63,Strong Buy,60.80,"Oct 24, 2024"
56.68M,"159,347",511.11M,$2.84,"6,600",197.98,Buy,218.25,"Jul 31, 2024"
184.77M,"2,162,579",-175.01M,n/a,"4,576",59.70,Strong Buy,77.64,"Jul 31, 2024"
109.78M,"376,903",219.37M,n/a,"8,700",100.00,Strong Buy,91.67,"Jul 23, 2024"
94.86M,"946,302",-26.33M,n/a,"14,000",115.52,Hold,118.53,"Jul 30, 2024"
26.52M,"185,254",380.66M,n/a,"61,200",402.33,Buy,493.93,"Oct 25, 2024"
237.12M,"592,120",756.66M,n/a,"1,826",44.67,Buy,42.83,"Jul 31, 2024"
183.17M,"309,376",-285.01M,n/a,"2,271",57.50,Strong Buy,81.08,"Aug 9, 2024"
369.90M,"3,758,456",2.91B,$1.00,"6,669",28.47,Hold,38.27,"Jul 31, 2024"
535.91M,"5,676,094",770.16M,$1.46,"7,970",19.60,Buy,25.43,"Aug 13, 2024"
73.42M,"195,592",407.50M,$0.38,"1,952",138.24,Strong Buy,157.30,"Oct 23, 2024"
154.32M,"1,038,972",-790.20M,n/a,"3,150",64.95,Strong Buy,45.25,"Aug 6, 2024"
144.69M,"3,611,635",-493.17M,n/a,"31,000",69.15,Buy,76.57,"Aug 1, 2024"
100.13M,"1,740,852",324.75M,n/a,"30,695",97.87,Buy,95.00,"Jul 29, 2024"
114.19M,"315,412",508.77M,$1.92,"6,500",85.43,Strong Buy,102.50,"Aug 7, 2024"
